Exported Month,Short Month,Year,Quarter,Month,Year-Month,Year-Quarter
January,Jan,2023,Q1,1,2023-01,2023-Q1
February,Feb,2023,Q1,2,2023-02,2023-Q1
March,Mar,2023,Q1,3,2023-03,2023-Q1
April,Apr,2023,Q2,4,2023-04,2023-Q2
May,May,2023,Q2,5,2023-05,2023-Q2
June,Jun,2023,Q2,6,2023-06,2023-Q2
July,Jul,2023,Q3,7,2023-07,2023-Q3
August,Aug,2023,Q3,8,2023-08,2023-Q3
September,Sep,2023,Q3,9,2023-09,2023-Q3
October,Oct,2023,Q4,10,2023-10,2023-Q4
November,Nov,2023,Q4,11,2023-11,2023-Q4
December,Dec,2023,Q4,12,2023-12,2023-Q4
January,Jan,2024,Q1,1,2024-01,2024-Q1
February,Feb,2024,Q1,2,2024-02,2024-Q1
March,Mar,2024,Q1,3,2024-03,2024-Q1
April,Apr,2024,Q2,4,2024-04,2024-Q2
May,May,2024,Q2,5,2024-05,2024-Q2
June,Jun,2024,Q2,6,2024-06,2024-Q2
July,Jul,2024,Q3,7,2024-07,2024-Q3
August,Aug,2024,Q3,8,2024-08,2024-Q3
September,Sep,2024,Q3,9,2024-09,2024-Q3
October,Oct,2024,Q4,10,2024-10,2024-Q4
November,Nov,2024,Q4,11,2024-11,2024-Q4
December,Dec,2024,Q4,12,2024-12,2024-Q4
